KOGID	kogidname
KOG1405	4-aminobutyrate aminotransferase
KOG1406	Peroxisomal 3-ketoacyl-CoA-thiolase P-44/SCP2
KOG1407	WD40 repeat protein
KOG1408	WD40 repeat protein
KOG1409	Uncharacterized conserved protein, contains WD40 repeats and FYVE domains
KOG1410	Nuclear transport receptor RanBP16 (importin beta superfamily)
KOG1411	Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT1/GOT2
KOG1412	Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT2/GOT1
KOG1413	N-acetylglucosaminyltransferase I
KOG1414	Transcriptional activator FOSB/c-Fos and related bZIP transcription factors
KOG1415	Ubiquitin C-terminal hydrolase UCHL1
KOG1416	tRNA(1-methyladenosine) methyltransferase, subunit GCD10
KOG1417	Homogentisate 1,2-dioxygenase
KOG1418	Tandem pore domain K+ channel
KOG1419	Voltage-gated K+ channel KCNQ
KOG1420	Ca2+-activated K+ channel Slowpoke, alpha subunit
KOG1421	Predicted signaling-associated protein (contains a PDZ domain)
KOG1422	Intracellular Cl- channel CLIC, contains GST domain
KOG1423	Ras-like GTPase ERA
KOG1424	Predicted GTP-binding protein MMR1
KOG1425	Microfibrillar-associated protein MFAP1
KOG1426	FOG: RCC1 domain
KOG1427	Uncharacterized conserved protein, contains RCC1 domain
KOG1428	Inhibitor of type V adenylyl cyclases/Neuronal presynaptic protein Highwire/PAM/RPM-1
KOG1429	dTDP-glucose 4-6-dehydratase/UDP-glucuronic acid decarboxylase
KOG1430	C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases
KOG1431	GDP-L-fucose synthetase
KOG1432	Predicted DNA repair exonuclease SIA1
KOG1433	DNA repair protein RAD51/RHP55
KOG1434	Meiotic recombination protein Dmc1
KOG1435	Sterol reductase/lamin B receptor
KOG1436	Dihydroorotate dehydrogenase
KOG1437	Fasciclin and related adhesion glycoproteins
KOG1438	Anthranilate phosphoribosyltransferase
KOG1439	RAB proteins geranylgeranyltransferase component A (RAB escort protein)
KOG1440	CDP-diacylglycerol synthase
KOG1441	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter
KOG1442	GDP-fucose transporter
KOG1443	Predicted integral membrane protein
KOG1444	Nucleotide-sugar transporter VRG4/SQV-7
KOG1445	Tumor-specific antigen (contains WD repeats)
KOG1446	Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2
KOG1447	GTP-specific succinyl-CoA synthetase, beta subunit
KOG1448	Ribose-phosphate pyrophosphokinase
KOG1449	Predicted Rho GTPase-activating protein CdGAPr
KOG1450	Predicted Rho GTPase-activating protein
KOG1451	Oligophrenin-1 and related Rho GTPase-activating proteins
KOG1452	Predicted Rho GTPase-activating protein
KOG1453	Chimaerin and related Rho GTPase activating proteins
KOG1454	Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily)
KOG1455	Lysophospholipase
KOG1456	Heterogeneous nuclear ribonucleoprotein L (contains RRM repeats)
KOG1457	RNA binding protein (contains RRM repeats)
KOG1458	Fructose-1,6-bisphosphatase
KOG1459	Squalene synthetase
KOG1460	GDP-mannose pyrophosphorylase
KOG1461	Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6)
KOG1462	Translation initiation factor 2B, gamma subunit (eIF-2Bgamma/GCD1)
KOG1463	26S proteasome regulatory complex, subunit RPN6/PSMD11
KOG1464	COP9 signalosome, subunit CSN2
KOG1465	Translation initiation factor 2B, beta subunit (eIF-2Bbeta/GCD7)
KOG1466	Translation initiation factor 2B, alpha subunit (eIF-2Balpha/GCN3)
KOG1467	Translation initiation factor 2B, delta subunit (eIF-2Bdelta/GCD2)
KOG1468	Predicted translation initiation factor related to eIF-2B alpha/beta/delta subunits (CIG2/IDI2)
KOG1469	Predicted acyl-CoA dehydrogenase
KOG1470	Phosphatidylinositol transfer protein PDR16 and related proteins
KOG1471	Phosphatidylinositol transfer protein SEC14 and related proteins
KOG1472	Histone acetyltransferase SAGA/ADA, catalytic subunit PCAF/GCN5 and related proteins
KOG1473	Nucleosome remodeling factor, subunit NURF301/BPTF
KOG1474	Transcription initiation factor TFIID, subunit BDF1 and related bromodomain proteins
KOG1475	Ribosomal protein RPL1/RPL2/RL4L4
KOG1476	Beta-1,3-glucuronyltransferase B3GAT1/SQV-8
KOG1477	SPRY domain-containing proteins
KOG1478	3-keto sterol reductase
KOG1479	Nucleoside transporter
KOG1480	Netrin transmembrane receptor unc-5
KOG1481	Cysteine synthase
KOG1482	Zn2+ transporter
KOG1483	Zn2+ transporter ZNT1 and related Cd2+/Zn2+ transporters (cation diffusion facilitator superfamily)
KOG1484	Putative Zn2+ transporter MSC2 (cation diffusion facilitator superfamily)
KOG1485	Mitochondrial Fe2+ transporter MMT1 and related transporters (cation diffusion facilitator superfamily)
KOG1486	GTP-binding protein DRG2 (ODN superfamily)
KOG1487	GTP-binding protein DRG1 (ODN superfamily)
KOG1488	Translational repressor Pumilio/PUF3 and related RNA-binding proteins (Puf superfamily)
KOG1489	Predicted GTP-binding protein (ODN superfamily)
KOG1490	GTP-binding protein CRFG/NOG1 (ODN superfamily)
KOG1491	Predicted GTP-binding protein (ODN superfamily)
KOG1492	C3H1-type Zn-finger protein
KOG1493	Anaphase-promoting complex (APC), subunit 11
KOG1494	NAD-dependent malate dehydrogenase
KOG1495	Lactate dehydrogenase
KOG1496	Malate dehydrogenase
KOG1497	COP9 signalosome, subunit CSN4
KOG1498	26S proteasome regulatory complex, subunit RPN5/PSMD12
KOG1499	Protein arginine N-methyltransferase PRMT1 and related enzymes
KOG1500	Protein arginine N-methyltransferase CARM1
KOG1501	Arginine N-methyltransferase
KOG1502	Flavonol reductase/cinnamoyl-CoA reductase
KOG1503	Phosphoribosylpyrophosphate synthetase-associated protein
KOG1504	Ornithine carbamoyltransferase OTC/ARG3
KOG1505	Lysophosphatidic acid acyltransferase LPAAT and related acyltransferases
KOG1506	S-adenosylmethionine synthetase
KOG1507	Nucleosome assembly protein NAP-1
KOG1508	DNA replication factor/protein phosphatase inhibitor SET/SPR-2
KOG1509	Predicted nucleic acid-binding protein ASMTL
KOG1510	RNA polymerase II holoenzyme and mediator subcomplex, subunit SURB7/SRB7
KOG1511	Mevalonate kinase MVK/ERG12
KOG1512	PHD Zn-finger protein
KOG1513	Nuclear helicase MOP-3/SNO (DEAD-box superfamily)
KOG1514	Origin recognition complex, subunit 1, and related proteins
KOG1515	Arylacetamide deacetylase
KOG1516	Carboxylesterase and related proteins
KOG1517	Guanine nucleotide binding protein MIP1
KOG1518	Coproporphyrinogen III oxidase CPO/HEM13
KOG1519	Predicted mitochondrial carrier protein
KOG1520	Predicted alkaloid synthase/Surface mucin Hemomucin
KOG1521	RNA polymerase I and III, subunit RPA40/RPC40
KOG1522	RNA polymerase II, subunit POLR2C/RPB3
KOG1523	Actin-related protein Arp2/3 complex, subunit ARPC1/p41-ARC
KOG1524	WD40 repeat-containing protein CHE-2
KOG1525	Sister chromatid cohesion complex Cohesin, subunit PDS5
KOG1526	NADP-dependent isocitrate dehydrogenase
KOG1527	Uroporphyrin III methyltransferase
KOG1528	Salt-sensitive 3'-phosphoadenosine-5'-phosphatase HAL2/SAL1
KOG1529	Mercaptopyruvate sulfurtransferase/thiosulfate sulfurtransferase
KOG1530	Rhodanese-related sulfurtransferase
KOG1531	F0F1-type ATP synthase, gamma subunit
KOG1532	GTPase XAB1, interacts with DNA repair protein XPA
KOG1533	Predicted GTPase
KOG1534	Putative transcription factor FET5
KOG1535	Predicted fumarylacetoacetate hydralase
KOG1536	Biotin holocarboxylase synthetase/biotin-protein ligase
KOG1537	Homoserine kinase
KOG1538	Uncharacterized conserved protein WDR10, contains WD40 repeats
KOG1539	WD repeat protein
KOG1540	Ubiquinone biosynthesis methyltransferase COQ5
KOG1541	Predicted protein carboxyl methylase
KOG1542	Cysteine proteinase Cathepsin F
KOG1543	Cysteine proteinase Cathepsin L
KOG1544	Predicted cysteine proteinase TIN-ag
KOG1545	Voltage-gated shaker-like K+ channel KCNA
KOG1546	Metacaspase involved in regulation of apoptosis
KOG1547	Septin CDC10 and related P-loop GTPases
KOG1548	Transcription elongation factor TAT-SF1
KOG1549	Cysteine desulfurase NFS1
KOG1550	Extracellular protein SEL-1 and related proteins
KOG1551	Uncharacterized conserved protein
KOG1552	Predicted alpha/beta hydrolase
KOG1553	Predicted alpha/beta hydrolase BAT5
KOG1554	COP9 signalosome, subunit CSN5
KOG1555	26S proteasome regulatory complex, subunit RPN11
KOG1556	26S proteasome regulatory complex, subunit RPN8/PSMD7
KOG1557	Fructose-biphosphate aldolase
KOG1558	Fe2+/Zn2+ regulated transporter
KOG1559	Gamma-glutamyl hydrolase
KOG1560	Translation initiation factor 3, subunit h (eIF-3h)
KOG1561	CCAAT-binding factor, subunit B (HAP2)
KOG1562	Spermidine synthase
KOG1563	Mitochondrial protein Surfeit 1/SURF1/SHY1, required for expression of cytochrome oxidase
KOG1564	DNA repair protein RHP57
KOG1565	Gelatinase A and related matrix metalloproteases
KOG1566	Conserved protein Mo25
KOG1567	Ribonucleotide reductase, beta subunit
KOG1568	Mitochondrial inner membrane protease, subunit IMP2
KOG1569	50S ribosomal protein L1
KOG1570	60S ribosomal protein L10A
KOG1571	Predicted E3 ubiquitin ligase
KOG1572	Predicted protein tyrosine phosphatase
KOG1573	Aldehyde reductase
KOG1574	Predicted cell growth/differentiation regulator, contains RA domain
KOG1575	Voltage-gated shaker-like K+ channel, subunit beta/KCNAB
KOG1576	Predicted oxidoreductase
KOG1577	Aldo/keto reductase family proteins
KOG1578	Predicted carbonic anhydrase involved in protection against oxidative damage
KOG1579	Homocysteine S-methyltransferase
KOG1580	UDP-galactose transporter related protein
KOG1581	UDP-galactose transporter related protein
KOG1582	UDP-galactose transporter related protein
KOG1583	UDP-N-acetylglucosamine transporter
KOG1584	Sulfotransferase
KOG1585	Protein required for fusion of vesicles in vesicular transport, gamma-SNAP
KOG1586	Protein required for fusion of vesicles in vesicular transport, alpha-SNAP
KOG1587	Cytoplasmic dynein intermediate chain
KOG1588	RNA-binding protein Sam68 and related KH domain proteins
KOG1589	Uncharacterized conserved protein
KOG1590	Uncharacterized conserved protein
KOG1591	Prolyl 4-hydroxylase alpha subunit
KOG1592	Asparaginase
KOG1593	Asparaginase
KOG1594	Uncharacterized enzymes related to aldose 1-epimerase
KOG1595	CCCH-type Zn-finger protein
KOG1596	Fibrillarin and related nucleolar RNA-binding proteins
KOG1597	Transcription initiation factor TFIIB
KOG1598	Transcription initiation factor TFIIIB, Brf1 subunit
KOG1599	Uricase (urate oxidase)
KOG1600	Fatty acid desaturase
KOG1601	GATA-4/5/6 transcription factors
KOG1602	Cis-prenyltransferase
KOG1603	Copper chaperone
KOG1604	Predicted mutarotase
KOG1605	TFIIF-interacting CTD phosphatase, including NLI-interacting factor (involved in RNA polymerase II regulation)
KOG1606	Stationary phase-induced protein, SOR/SNZ family
KOG1607	Protein transporter of the TRAM (translocating chain-associating membrane) superfamily
KOG1608	Protein transporter of the TRAM (translocating chain-associating membrane) superfamily
KOG1609	Protein involved in mRNA turnover and stability
KOG1610	Corticosteroid 11-beta-dehydrogenase and related short chain-type dehydrogenases
KOG1611	Predicted short chain-type dehydrogenase
KOG1612	Exosomal 3'-5' exoribonuclease complex, subunit Rrp42
KOG1613	Exosomal 3'-5' exoribonuclease complex, subunit Rrp43
KOG1614	Exosomal 3'-5' exoribonuclease complex, subunit Rrp45
KOG1615	Phosphoserine phosphatase
KOG1616	Protein involved in Snf1 protein kinase complex assembly
KOG1617	CDP-alcohol phosphatidyltransferase/Phosphatidylglycerol-phosphate synthase
KOG1618	Predicted phosphatase
KOG1619	Cytochrome b
KOG1620	Inositol polyphosphate multikinase, component of the ARGR transcription regulatory complex
KOG1621	1D-myo-inositol-triphosphate 3-kinase A
KOG1622	GMP synthase
KOG1623	Multitransmembrane protein
KOG1624	Mitochondrial/chloroplast ribosomal protein L4
KOG1625	DNA polymerase alpha-primase complex, polymerase-associated subunit B
KOG1626	Inorganic pyrophosphatase/Nucleosome remodeling factor, subunit NURF38
KOG1627	Translation elongation factor EF-1 gamma
KOG1628	40S ribosomal protein S3A
KOG1629	Bax-mediated apoptosis inhibitor TEGT/BI-1
KOG1630	Growth hormone-induced protein and related proteins
KOG1631	Translocon-associated complex TRAP, alpha subunit
KOG1632	Uncharacterized PHD Zn-finger protein
KOG1633	F-box protein JEMMA and related proteins with JmjC, PHD, F-box and LRR domains
KOG1634	Predicted transcription factor DATF1, contains PHD and TFS2M domains
KOG1635	Peptide methionine sulfoxide reductase
KOG1636	DNA polymerase delta processivity factor (proliferating cell nuclear antigen)
KOG1637	Threonyl-tRNA synthetase
KOG1638	Steroid reductase
KOG1639	Steroid reductase required for elongation of the very long chain fatty acids
KOG1640	Predicted steroid reductase
KOG1641	Mitochondrial chaperonin
KOG1642	Ribonuclease, T2 family
KOG1643	Triosephosphate isomerase
KOG1644	U2-associated snRNP A' protein
KOG1645	RING-finger-containing E3 ubiquitin ligase
KOG1646	40S ribosomal protein S6
KOG1647	Vacuolar H+-ATPase V1 sector, subunit D
KOG1648	Uncharacterized conserved protein, contains RUN, BRK and TBC domains
KOG1649	SWI-SNF chromatin remodeling complex, Snf5 subunit
KOG1650	Predicted K+/H+-antiporter
KOG1651	Glutathione peroxidase
KOG1652	Mitochondrial import inner membrane translocase, subunit TIM17
KOG1653	Single-stranded DNA-binding protein
KOG1654	Microtubule-associated anchor protein involved in autophagy and membrane trafficking
KOG1655	Protein involved in vacuolar protein sorting
KOG1656	Protein involved in glucose derepression and pre-vacuolar endosome protein sorting
KOG1657	CCAAT-binding factor, subunit C (HAP5)
KOG1658	DNA polymerase epsilon, subunit C
KOG1659	Class 2 transcription repressor NC2, alpha subunit (DRAP1)
KOG1660	Sorting nexin SNX6/TFAF2, contains PX domain
KOG1661	Protein-L-isoaspartate(D-aspartate) O-methyltransferase
KOG1662	Mitochondrial F1F0-ATP synthase, subunit OSCP/ATP5
KOG1663	O-methyltransferase
KOG1664	Vacuolar H+-ATPase V1 sector, subunit E
KOG1665	AFH1-interacting protein FIP2, contains BTB/POZ domain and pentapeptide repeats
KOG1666	V-SNARE
KOG1667	Zn2+-binding protein Melusin/RAR1, contains CHORD domain
KOG1668	Elongation factor 1 beta/delta chain
KOG1669	Predicted mRNA cap-binding protein related to eIF-4E
KOG1670	Translation initiation factor 4F, cap-binding subunit (eIF-4E) and related cap-binding proteins
KOG1671	Ubiquinol cytochrome c reductase, subunit RIP1
KOG1672	ATP binding protein
KOG1673	Ras GTPases
KOG1674	Cyclin
KOG1675	Predicted cyclin
KOG1676	K-homology type RNA binding proteins
KOG1677	CCCH-type Zn-finger protein
KOG1678	60s ribosomal protein L15
KOG1679	Enoyl-CoA hydratase
KOG1680	Enoyl-CoA hydratase
KOG1681	Enoyl-CoA isomerase
KOG1682	Enoyl-CoA isomerase
KOG1683	Hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase
KOG1684	Enoyl-CoA hydratase
KOG1685	Uncharacterized conserved protein
KOG1686	Mitochondrial/chloroplast ribosomal L21 protein
KOG1687	NADH-ubiquinone oxidoreductase, NUFS7/PSST/20 kDa subunit
KOG1688	Golgi proteins involved in ER retention (RER)
KOG1689	mRNA cleavage factor I subunit
KOG1690	emp24/gp25L/p24 family of membrane trafficking proteins
KOG1691	emp24/gp25L/p24 family of membrane trafficking proteins
KOG1692	Putative cargo transport protein EMP24 (p24 protein family)
KOG1693	emp24/gp25L/p24 family of membrane trafficking proteins
KOG1694	60s ribosomal protein L6
KOG1695	Glutathione S-transferase
KOG1696	60s ribosomal protein L19
KOG1697	Mitochondrial/chloroplast ribosomal protein S9
KOG1698	Mitochondrial/chloroplast ribosomal protein L19
KOG1699	O-acetyltransferase
KOG1700	Regulatory protein MLP and related LIM proteins
KOG1701	Focal adhesion adaptor protein Paxillin and related LIM proteins
KOG1702	Nebulin repeat protein
KOG1703	Adaptor protein Enigma and related PDZ-LIM proteins
KOG1704	FOG: LIM domain
KOG1705	Uncharacterized conserved protein, contains CXXC motifs
KOG1706	Argininosuccinate synthase
KOG1707	Predicted Ras related/Rac-GTP binding protein
KOG1708	Mitochondrial/chloroplast ribosomal protein L24
KOG1709	Guanidinoacetate methyltransferase and related proteins
KOG1710	MYND Zn-finger and ankyrin repeat protein
KOG1711	Mitochondrial/chloroplast ribosomal protein L22
KOG1712	Adenine phosphoribosyl transferases
KOG1713	NADH-ubiquinone oxidoreductase, NDUFS3/30 kDa subunit
KOG1714	60s ribosomal protein L18
KOG1715	Mitochondrial/chloroplast ribosomal protein L12
KOG1716	Dual specificity phosphatase
KOG1717	Dual specificity phosphatase
KOG1718	Dual specificity phosphatase
KOG1719	Dual specificity phosphatase
KOG1720	Protein tyrosine phosphatase CDC14
KOG1721	FOG: Zn-finger
KOG1722	60s ribosomal protein L24
KOG1723	60s ribosomal protein L30 isolog
